Version 3.21 - Inpatient Facility Charge Table,,,,,,,,
,,,,,,,,
Item Code,Code Type,Description,Charge Type Indicator,Standard Room and Board Per Diem,Standard Ancillary Charge Per Diem,ICU Room and Board Per Diem,ICU Ancillary Charge Per Diem,Start Date
001,DRG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,S,"$4,006.84 ","$26,973.29 ","$7,400.24 ","$26,973.29 ",20170101
002,DRG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,S,"$3,338.92 ","$27,402.24 ","$6,227.78 ","$27,402.24 ",20170101
003,DRG,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",S,"$4,257.52 ","$16,408.50 ","$7,352.45 ","$16,408.50 ",20170101
004,DRG,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",S,"$3,856.32 ","$10,865.12 ","$6,490.02 ","$10,865.12 ",20170101
005,DRG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,S,"$3,679.59 ","$26,691.26 ","$7,810.40 ","$26,691.26 ",20170101
006,DRG,LIVER TRANSPLANT W/O MCC,S,"$3,109.96 ","$32,821.55 ","$6,431.24 ","$32,821.55 ",20170101
007,DRG,LUNG TRANSPLANT,S,"$3,972.81 ","$31,070.59 ","$6,846.85 ","$31,070.59 ",20170101
008,DRG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,S,"$3,280.66 ","$40,270.48 ","$6,477.75 ","$40,270.48 ",20170101
010,DRG,PANCREAS TRANSPLANT,S,"$3,423.08 ","$30,992.34 ","$6,190.85 ","$30,992.34 ",20170101
011,DRG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",S,"$3,669.83 ","$12,356.03 ","$6,880.80 ","$12,356.03 ",20170101
012,DRG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",S,"$3,685.14 ","$13,441.51 ","$6,488.65 ","$13,441.51 ",20170101
013,DRG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",S,"$3,145.21 ","$12,055.36 ","$5,727.21 ","$12,055.36 ",20170101
