Version 3.18 - Inpatient Facility Charge Table,,,,,,,,
,,,,,,,,
Item Code,Code Type,Description,Charge Type Indicator,Standard Room and Board Per Diem,Standard Ancillary Charge Per Diem,ICU Room and Board Per Diem,ICU Ancillary Charge Per Diem,Start Date
001,DRG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,S,"$3,704.63 ","$25,481.34 ","$6,816.76 ","$25,481.34 ",20160101
002,DRG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,S,"$3,792.73 ","$30,765.78 ","$7,044.68 ","$30,765.78 ",20160101
003,DRG,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",S,"$4,193.28 ","$15,911.76 ","$7,082.97 ","$15,911.76 ",20160101
004,DRG,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",S,"$3,628.34 ","$10,428.96 ","$6,138.24 ","$10,428.96 ",20160101
005,DRG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,S,"$3,659.10 ","$26,119.36 ","$7,669.01 ","$26,119.36 ",20160101
006,DRG,LIVER TRANSPLANT W/O MCC,S,"$2,963.56 ","$30,448.90 ","$6,321.24 ","$30,448.90 ",20160101
007,DRG,LUNG TRANSPLANT,S,"$3,480.69 ","$27,873.50 ","$5,935.74 ","$27,873.50 ",20160101
008,DRG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,S,"$2,923.45 ","$36,127.05 ","$5,761.61 ","$36,127.05 ",20160101
010,DRG,PANCREAS TRANSPLANT,S,"$3,643.00 ","$30,585.77 ","$6,699.98 ","$30,585.77 ",20160101
011,DRG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",S,"$3,458.83 ","$11,602.09 ","$6,571.09 ","$11,602.09 ",20160101
012,DRG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",S,"$3,416.16 ","$12,072.12 ","$6,023.84 ","$12,072.12 ",20160101
013,DRG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",S,"$3,158.40 ","$11,779.90 ","$5,822.95 ","$11,779.90 ",20160101
014,DRG,ALLOGENEIC BONE MARROW TRANSPLANT,S,"$5,215.04 ","$14,320.16 ","$6,725.30 ","$14,320.16 ",20160101
016,DRG,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,S,"$4,562.72 ","$9,169.10 ","$5,547.99 ","$9,169.10 ",20160101
017,DRG,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,S,"$3,805.92 ","$8,115.62 ","$5,449.86 ","$8,115.62 ",20160101
020,DRG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,S,"$3,939.87 ","$19,339.85 ","$8,018.98 ","$19,339.85 ",20160101
021,DRG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,S,"$4,124.49 ","$16,518.10 ","$7,744.51 ","$16,518.10 ",20160101
022,DRG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,S,"$3,630.48 ","$19,002.04 ","$6,660.54 ","$19,002.04 ",20160101
023,DRG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,S,"$3,287.69 ","$15,194.94 ","$6,867.95 ","$15,194.94 ",20160101
024,DRG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,S,"$3,690.62 ","$21,962.66 ","$7,150.58 ","$21,962.66 ",20160101
025,DRG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,S,"$3,490.21 ","$15,673.54 ","$7,254.24 ","$15,673.54 ",20160101
026,DRG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,S,"$3,822.87 ","$19,069.63 ","$7,629.36 ","$19,069.63 ",20160101
027,DRG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,S,"$3,482.37 ","$29,231.63 ","$7,103.96 ","$29,231.63 ",20160101
028,DRG,SPINAL PROCEDURES W MCC,S,"$3,059.08 ","$14,600.42 ","$6,499.56 ","$14,600.42 ",20160101
029,DRG,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,S,"$3,003.84 ","$16,670.88 ","$6,156.55 ","$16,670.88 ",20160101
030,DRG,SPINAL PROCEDURES W/O CC/MCC,S,"$3,039.46 ","$19,876.36 ","$6,081.81 ","$19,876.36 ",20160101
031,DRG,VENTRICULAR SHUNT PROCEDURES W MCC,S,"$3,447.30 ","$11,688.43 ","$6,767.36 ","$11,688.43 ",20160101
032,DRG,VENTRICULAR SHUNT PROCEDURES W CC,S,"$3,336.84 ","$15,252.18 ","$6,459.59 ","$15,252.18 ",20160101
033,DRG,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,S,"$2,923.84 ","$22,626.73 ","$5,485.49 ","$22,626.73 ",20160101
034,DRG,CAROTID ARTERY STENT PROCEDURE W MCC,S,"$2,963.79 ","$18,276.81 ","$5,824.13 ","$18,276.81 ",20160101
035,DRG,CAROTID ARTERY STENT PROCEDURE W CC,S,"$3,395.88 ","$30,031.44 ","$6,320.34 ","$30,031.44 ",20160101
036,DRG,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,S,"$2,843.25 ","$42,810.63 ","$5,239.24 ","$42,810.63 ",20160101
037,DRG,EXTRACRANIAL PROCEDURES W MCC,S,"$2,842.75 ","$13,459.28 ","$5,234.98 ","$13,459.28 ",20160101
038,DRG,EXTRACRANIAL PROCEDURES W CC,S,"$2,992.10 ","$18,933.68 ","$5,358.91 ","$18,933.68 ",20160101
039,DRG,EXTRACRANIAL PROCEDURES W/O CC/MCC,S,"$2,705.92 ","$27,263.27 ","$5,099.16 ","$27,263.27 ",20160101
040,DRG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,S,"$2,998.71 ","$9,662.24 ","$5,752.10 ","$9,662.24 ",20160101
041,DRG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,S,"$2,992.63 ","$11,173.18 ","$5,610.16 ","$11,173.18 ",20160101
042,DRG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,S,"$3,488.23 ","$23,050.52 ","$6,073.25 ","$23,050.52 ",20160101
052,DRG,SPINAL DISORDERS & INJURIES W CC/MCC,N,"$2,011.85 ","$4,196.19 ","$5,116.06 ","$4,196.19 ",20160101
053,DRG,SPINAL DISORDERS & INJURIES W/O CC/MCC,N,"$1,460.30 ","$3,562.98 ","$3,295.41 ","$3,562.98 ",20160101
054,DRG,NERVOUS SYSTEM NEOPLASMS W MCC,N,"$3,070.50 ","$7,111.04 ","$5,678.19 ","$7,111.04 ",20160101
055,DRG,NERVOUS SYSTEM NEOPLASMS W/O MCC,N,"$2,575.50 ","$6,457.63 ","$4,544.41 ","$6,457.63 ",20160101
056,DRG,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,N,"$2,603.58 ","$4,152.10 ","$5,214.35 ","$4,152.10 ",20160101
057,DRG,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,N,"$2,731.95 ","$2,277.91 ","$5,205.25 ","$2,277.91 ",20160101
058,DRG,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,N,"$3,174.94 ","$6,782.26 ","$5,561.00 ","$6,782.26 ",20160101
059,DRG,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,N,"$2,982.03 ","$6,384.36 ","$4,714.44 ","$6,384.36 ",20160101
060,DRG,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,N,"$2,898.63 ","$6,229.04 ","$4,700.33 ","$6,229.04 ",20160101
061,DRG,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,N,"$3,267.70 ","$11,991.42 ","$6,257.18 ","$11,991.42 ",20160101
062,DRG,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,N,"$3,447.90 ","$14,806.63 ","$6,638.79 ","$14,806.63 ",20160101
063,DRG,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,N,"$3,543.67 ","$19,116.36 ","$6,736.08 ","$19,116.36 ",20160101
064,DRG,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,N,"$2,985.97 ","$7,932.86 ","$5,861.02 ","$7,932.86 ",20160101
065,DRG,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,N,"$2,750.53 ","$7,412.03 ","$5,124.15 ","$7,412.03 ",20160101
066,DRG,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,N,"$2,585.50 ","$8,574.81 ","$4,720.76 ","$8,574.81 ",20160101
067,DRG,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,N,"$2,426.92 ","$7,801.17 ","$4,409.39 ","$7,801.17 ",20160101
068,DRG,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,N,"$1,907.41 ","$7,097.66 ","$3,335.99 ","$7,097.66 ",20160101
069,DRG,TRANSIENT ISCHEMIA,N,"$2,977.37 ","$10,887.95 ","$5,064.77 ","$10,887.95 ",20160101
070,DRG,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,N,"$2,601.98 ","$6,764.14 ","$4,904.35 ","$6,764.14 ",20160101
071,DRG,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,N,"$2,547.02 ","$5,440.27 ","$4,439.60 ","$5,440.27 ",20160101
072,DRG,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,N,"$2,611.06 ","$7,561.83 ","$4,540.76 ","$7,561.83 ",20160101
073,DRG,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,N,"$2,744.44 ","$6,615.40 ","$4,643.45 ","$6,615.40 ",20160101
074,DRG,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,N,"$2,659.39 ","$6,363.23 ","$4,576.83 ","$6,363.23 ",20160101
075,DRG,VIRAL MENINGITIS W CC/MCC,N,"$2,575.58 ","$7,034.71 ","$4,601.08 ","$7,034.71 ",20160101
076,DRG,VIRAL MENINGITIS W/O CC/MCC,N,"$2,369.33 ","$6,781.85 ","$4,293.15 ","$6,781.85 ",20160101
077,DRG,HYPERTENSIVE ENCEPHALOPATHY W MCC,N,"$2,682.14 ","$7,695.66 ","$5,383.41 ","$7,695.66 ",20160101
078,DRG,HYPERTENSIVE ENCEPHALOPATHY W CC,N,"$2,525.94 ","$6,724.97 ","$4,658.89 ","$6,724.97 ",20160101
079,DRG,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,N,"$2,521.18 ","$7,178.03 ","$4,194.56 ","$7,178.03 ",20160101
080,DRG,NONTRAUMATIC STUPOR & COMA W MCC,N,"$3,030.75 ","$6,802.19 ","$5,714.55 ","$6,802.19 ",20160101
081,DRG,NONTRAUMATIC STUPOR & COMA W/O MCC,N,"$2,499.24 ","$4,964.15 ","$4,571.22 ","$4,964.15 ",20160101
082,DRG,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",N,"$2,736.75 ","$8,661.77 ","$6,397.34 ","$8,661.77 ",20160101
083,DRG,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",N,"$2,914.30 ","$7,107.00 ","$6,265.94 ","$7,107.00 ",20160101
084,DRG,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",N,"$3,012.04 ","$9,048.91 ","$6,612.42 ","$9,048.91 ",20160101
085,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",N,"$2,954.30 ","$7,210.24 ","$6,165.31 ","$7,210.24 ",20160101
086,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",N,"$2,948.82 ","$6,484.48 ","$5,938.84 ","$6,484.48 ",20160101
087,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",N,"$2,593.50 ","$6,582.44 ","$5,453.93 ","$6,582.44 ",20160101
088,DRG,CONCUSSION W MCC,N,"$3,376.01 ","$10,700.81 ","$7,504.87 ","$10,700.81 ",20160101
089,DRG,CONCUSSION W CC,N,"$3,832.04 ","$11,378.64 ","$7,535.77 ","$11,378.64 ",20160101
090,DRG,CONCUSSION W/O CC/MCC,N,"$3,531.19 ","$11,691.15 ","$6,645.45 ","$11,691.15 ",20160101
091,DRG,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,N,"$2,634.54 ","$6,533.25 ","$5,093.06 ","$6,533.25 ",20160101
092,DRG,OTHER DISORDERS OF NERVOUS SYSTEM W CC,N,"$2,871.32 ","$6,266.48 ","$4,962.18 ","$6,266.48 ",20160101
093,DRG,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,N,"$2,605.58 ","$6,939.87 ","$4,383.56 ","$6,939.87 ",20160101
094,DRG,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,N,"$2,755.90 ","$7,674.64 ","$5,363.03 ","$7,674.64 ",20160101
095,DRG,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,N,"$2,787.39 ","$8,748.46 ","$4,936.28 ","$8,748.46 ",20160101
096,DRG,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,N,"$2,591.93 ","$11,741.94 ","$4,740.90 ","$11,741.94 ",20160101
097,DRG,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,N,"$3,113.93 ","$8,679.92 ","$5,566.66 ","$8,679.92 ",20160101
