ID,INSTALLED,VERIFY_DT,STATUS,SEQ#,LABELED_AS,CATEGORY,PRODUCT_NAME,PREREQUISITES OR SPECIAL NOTES,REDACTED INFO IN FOIA RELEASE
1,TRUE,2009-04-01,VERIFIED,49,ONC*2.11*49 ,Routine,ONCOLOGY,ONC211P49.KID,
2,TRUE,2009-04-01,VERIFIED,189,PSJ*5*213 ,Routine,INPATIENT MEDICATIONS,,
3,TRUE,2009-04-01,VERIFIED,31,USR*1*29 ,Routine,AUTHORIZATION/SUBSCRIPTION,,
4,TRUE,2009-04-02,VERIFIED,269,OR*3*282 ,Routine,ORDER ENTRY/RESULTS REPORTING,,
5,TRUE,2009-04-02,VERIFIED,92,XT*7.3*114 ,Routine,KERNEL TOOLKIT,,
6,TRUE,2009-04-03,VERIFIED,13,WEBV*1*16 ,Informational,VISTA WEB,,
7,TRUE,2009-04-07,VERIFIED,38,ICD*18*41 ,Informational,DRG GROUPER,installed with LEX_2_65.GBL,
8,TRUE,2009-04-07,VERIFIED,45,ICPT*6*47 ,Informational,CPT/HCPCS CODES,Installed with LEX_2_65.GBL,
9,TRUE,2009-04-07,VERIFIED,58,LEX*2*65 ,Data Dictionary,LEXICON UTILITY,LEX_2_65.GBL,
10,TRUE,2009-04-07,VERIFIED,54,PSA*3*70 ,Routine,DRUG ACCOUNTABILITY,,
11,TRUE,2009-04-08,VERIFIED,705,DG*5.3*807 ,Routine,REGISTRATION,,
12,TRUE,2009-04-14,VERIFIED,414,XU*8*451 ,Other,KERNEL,,
13,TRUE,2009-04-15,VERIFIED,415,XU*8*517 ,Routine,KERNEL,,
14,TRUE,2009-04-16,VERIFIED,75,EAS*1*94 ,Routine,ENROLLMENT APPLICATION SYSTEM,,
15,TRUE,2009-04-22,VERIFIED,76,EAS*1*95 ,Other,ENROLLMENT APPLICATION SYSTEM,,
16,TRUE,2009-04-22,VERIFIED,274,PSO*7*301 ,Routine,OUTPATIENT PHARMACY,,
17,TRUE,2009-04-22,VERIFIED,449,SD*5.3*552 ,Patch for Patch,SCHEDULING,,
18,TRUE,2009-04-27,VERIFIED,188,PSN*4*201 ,Routine,NATIONAL DRUG FILE,NDF4P201.KID,
19,TRUE,2009-04-27,VERIFIED,189,PSN*4*202 ,Routine,NATIONAL DRUG FILE,NDF4P202.KID,
20,TRUE,2009-04-27,VERIFIED,416,XU*8*489 ,Routine,KERNEL,,
21,TRUE,2009-04-28,VERIFIED,106,ECX*3*115 ,Routine,DSS EXTRACTS,,
22,TRUE,2009-04-29,VERIFIED,378,IB*2*414 ,Other,INTEGRATED BILLING,,
23,TRUE,2009-04-30,VERIFIED,16,GMRV*5*25 ,Routine,GEN. MED. REC. - VITALS,,
24,TRUE,2009-04-30,VERIFIED,417,XU*8*506 ,Routine,KERNEL,,
25,TRUE,2009-05-06,VERIFIED,59,LEX*2*62 ,Routine,LEXICON UTILITY,,
26,TRUE,2009-05-07,VERIFIED,131,RMPR*3*143 ,Other,PROSTHETICS,RMPR_3_143_201.EXE,
27,TRUE,2009-05-08,VERIFIED,83,RA*5*78 ,Enhancement,RADIOLOGY/NUCLEAR MEDICINE,,
28,TRUE,2009-05-11,VERIFIED,93,XT*7.3*108 ,Routine,KERNEL TOOLKIT,,
29,TRUE,2009-05-12,VERIFIED,450,SD*5.3*545 ,Routine,SCHEDULING,,
30,TRUE,2009-05-13,VERIFIED,190,PSN*4*203 ,Routine,NATIONAL DRUG FILE,NDF4P203.KID,
31,TRUE,2009-05-26,VERIFIED,451,SD*5.3*541 ,Routine,SCHEDULING,,
32,TRUE,2009-05-27,VERIFIED,706,DG*5.3*808 ,Routine,REGISTRATION,,
33,TRUE,2009-05-27,VERIFIED,707,DG*5.3*793 ,Routine,REGISTRATION,,
34,TRUE,2009-05-27,VERIFIED,708,DG*5.3*788 ,Enhancement,REGISTRATION,,
35,TRUE,2009-05-27,VERIFIED,114,IVM*2*140 ,Routine,INCOME VERIFICATION MATCH,,
36,TRUE,2009-05-27,VERIFIED,191,PSN*4*204 ,Routine,NATIONAL DRUG FILE,NDF4P204.KID,
37,TRUE,2009-05-27,VERIFIED,192,PSN*4*205 ,Routine,NATIONAL DRUG FILE,NDF4P205.KID,
38,TRUE,2009-05-28,VERIFIED,107,ECX*3*121 ,Enhancement,DSS EXTRACTS,,
39,TRUE,2009-06-02,VERIFIED,275,PSO*7*305 ,Enhancement,OUTPATIENT PHARMACY,,
40,TRUE,2009-06-02,VERIFIED,128,PSS*1*137 ,Data Dictionary,PHARMACY DATA MANAGEMENT,,
41,TRUE,2009-06-03,VERIFIED,418,XU*8*446 ,Routine,KERNEL,,
42,TRUE,2009-06-08,VERIFIED,709,DG*5.3*786 ,Routine,REGISTRATION,,
43,TRUE,2009-06-08,VERIFIED,115,IVM*2*131 ,Routine,INCOME VERIFICATION MATCH,,
44,TRUE,2009-06-08,VERIFIED,305,LR*5.2*335 ,,LABORATORY,CONTROLLED RELEASE FOR VBECS,
45,TRUE,2009-06-08,VERIFIED,306,LR*5.2*325 ,,LABORATORY,CONTROLLED RELEASE FOR VBECS,
46,TRUE,2009-06-08,VERIFIED,307,LR*5.2*367 ,,LABORATORY,,
47,TRUE,2009-06-08,VERIFIED,308,LR*5.2*387 ,,LABORATORY,,
48,TRUE,2009-06-08,VERIFIED,270,OR*3*212 ,Routine,ORDER ENTRY/RESULTS REPORTING,OR_30_212.KID,
49,TRUE,2009-06-09,VERIFIED,710,DG*5.3*803 ,Data Dictionary,REGISTRATION,,
50,TRUE,2009-06-10,VERIFIED,57,DVB*4*61 ,Routine,HINQ,,
51,TRUE,2009-06-10,VERIFIED,193,PSN*4*206 ,Routine,NATIONAL DRUG FILE,NDF4P206.KID,
52,TRUE,2009-06-12,VERIFIED,711,DG*5.3*792 ,Routine,REGISTRATION,,
53,TRUE,2009-06-15,VERIFIED,140,DI*22*157 ,Routine,VA FILEMAN,,
54,TRUE,2009-06-16,VERIFIED,452,SD*5.3*555 ,Routine,SCHEDULING,,
55,TRUE,2009-06-17,VERIFIED,309,LR*5.2*309 ,,LABORATORY,,
56,TRUE,2009-06-17,VERIFIED,419,XU*8*469 ,Routine,KERNEL,,
57,TRUE,2009-06-18,VERIFIED,107,PRC*5.1*122 ,Routine,IFCAP,,
58,TRUE,2009-06-18,VERIFIED,7,QAO*3*8 ,Routine,OCCURRENCE SCREENING,,
59,TRUE,2009-06-18,VERIFIED,420,XU*8*466 ,Routine,KERNEL,,
60,TRUE,2009-06-22,VERIFIED,98,FB*3.5*110 ,Routine,FEE BASIS,,
61,TRUE,2009-06-22,VERIFIED,55,GMRC*3*62 ,Routine,CONSULT/REQUEST TRACKING,,
62,TRUE,2009-06-22,VERIFIED,310,LR*5.2*394 ,,LABORATORY,,
63,TRUE,2009-06-22,VERIFIED,84,RA*5*96 ,Routine,RADIOLOGY/NUCLEAR MEDICINE,,
64,TRUE,2009-06-23,VERIFIED,712,DG*5.3*809 ,Routine,REGISTRATION,
65,TRUE,2009-06-23,VERIFIED,93,EC*2*99 ,Routine,EVENT CAPTURE,
66,TRUE,2009-06-23,VERIFIED,36,PSB*3*45 ,Routine,BAR CODE MED ADMIN,
67,TRUE,2009-06-23,VERIFIED,190,PSJ*5*208 ,Routine,INPATIENT MEDICATIONS,
68,TRUE,2009-06-24,VERIFIED,713,DG*5.3*536 ,Routine,REGISTRATION,
69,TRUE,2009-06-24,VERIFIED,40,GMRA*4*42 ,Routine,ADVERSE REACTION TRACKING,
70,TRUE,2009-06-24,VERIFIED,271,OR*3*298 ,Routine,ORDER ENTRY/RESULTS REPORTING,
71,TRUE,2009-06-25,VERIFIED,99,FB*3.5*107 ,Enhancement,FEE BASIS,
72,TRUE,2009-06-26,VERIFIED,19,FH*5.5*19 ,Routine,DIETETICS,
73,TRUE,2009-06-26,VERIFIED,84,GMTS*2.7*91 ,Routine,HEALTH SUMMARY,
74,TRUE,2009-06-29,VERIFIED,114,HL*1.6*142 ,Data Dictionary,HEALTH LEVEL SEVEN,
75,TRUE,2009-06-29,VERIFIED,39,ICD*18*39 ,Routine,DRG GROUPER,
76,TRUE,2009-06-29,VERIFIED,194,PSN*4*207 ,Routine,NATIONAL DRUG FILE,NDF4P207.KID
77,TRUE,2009-06-29,VERIFIED,195,PSN*4*208 ,Routine,NATIONAL DRUG FILE,NDF4P208.KID
78,TRUE,2009-06-29,VERIFIED,80,YS*5.01*102 ,Routine,MENTAL HEALTH,
79,TRUE,2009-06-30,VERIFIED,13,MD*1*11  ,Routine,CLINICAL PROCEDURES,
80,TRUE,2009-06-30,VERIFIED,453,SD*5.3*535 ,Routine,SCHEDULING,
81,TRUE,2009-07-01,VERIFIED,116,IVM*2*129 ,Routine,INCOME VERIFICATION MATCH,
82,TRUE,2009-07-02,VERIFIED,124,DVBA*2.7*141 ,Routine,AUTOMATED MED INFO EXCHANGE,
83,TRUE,2009-07-02,VERIFIED,125,DVBA*2.7*145 ,Enhancement,AUTOMATED MED INFO EXCHANGE,
84,TRUE,2009-07-02,VERIFIED,272,OR*3*283 ,Routine,ORDER ENTRY/RESULTS REPORTING,
85,TRUE,2009-07-02,VERIFIED,85,RA*5*95 ,Routine,RADIOLOGY/NUCLEAR MEDICINE,
86,TRUE,2009-07-06,VERIFIED,126,DVBA*2.7*139 ,Enhancement,AUTOMATED MED INFO EXCHANGE,
87,TRUE,2009-07-06,VERIFIED,115,HL*1.6*139 ,Enhancement,HEALTH LEVEL SEVEN,
88,TRUE,2009-07-06,VERIFIED,55,PSA*3*69 ,Enhancement,DRUG ACCOUNTABILITY,
89,TRUE,2009-07-07,VERIFIED,46,ICPT*6*48 ,Informational,CPT/HCPCS CODES,Installed with LEX_2_66.GBL
90,TRUE,2009-07-07,VERIFIED,60,LEX*2*66 ,Data Dictionary,LEXICON UTILITY,LEX_2_66.GBL
91,TRUE,2009-07-07,VERIFIED,86,RA*5*93 ,Routine,RADIOLOGY/NUCLEAR MEDICINE,
92,TRUE,2009-07-08,VERIFIED,714,DG*5.3*712 ,Routine,REGISTRATION,"requires DG*5.3*520, DG*5.3*653 & DG*5.3*707"
93,TRUE,2009-07-08,VERIFIED,56,GMRC*3*63 ,Routine,CONSULT/REQUEST TRACKING,
94,TRUE,2009-07-08,VERIFIED,191,PSJ*5*221 ,Routine,INPATIENT MEDICATIONS,
95,TRUE,2009-07-08,VERIFIED,12,PSU*4*15 ,Routine,PHARMACY BENEFITS MANAGEMENT,
96,TRUE,2009-07-09,VERIFIED,7,BPS*1*7 ,Routine,E CLAIMS MGMT ENGINE,BPS_PSO_IB_BUNDLE_30 combines IB*2*384 and PSO*7*289
97,TRUE,2009-07-09,VERIFIED,379,IB*2*384 ,Routine,INTEGRATED BILLING,installed with BPS*1*7
98,TRUE,2009-07-09,VERIFIED,380,IB*2*399 ,Routine,INTEGRATED BILLING,NO CHARGE FILES INCLUDED
99,TRUE,2009-07-09,VERIFIED,196,PSN*4*209 ,Routine,NATIONAL DRUG FILE,NDF4P209.KID
100,TRUE,2009-07-09,VERIFIED,276,PSO*7*289 ,Routine,OUTPATIENT PHARMACY,installed with BPS*1*7
101,TRUE,2009-07-09,VERIFIED,277,PSO*7*311 ,Other,OUTPATIENT PHARMACY,
102,TRUE,2009-07-09,VERIFIED,129,PSS*1*131 ,Enhancement,PHARMACY DATA MANAGEMENT,
103,TRUE,2009-07-09,VERIFIED,59,PSX*2*65 ,Routine,CMOP,
104,TRUE,2009-07-14,VERIFIED,715,DG*5.3*671 ,Enhancement,REGISTRATION,"PSU_4P_P5.KID combined with PSU*4*5, PSJ*5*161 & PSO*7*170"
105,TRUE,2009-07-14,VERIFIED,192,PSJ*5*161 ,Routine,INPATIENT MEDICATIONS,installed with PSU*4*5
106,TRUE,2009-07-14,VERIFIED,278,PSO*7*170 ,Routine,OUTPATIENT PHARMACY,installed with PSU*4*5
107,TRUE,2009-07-14,VERIFIED,130,PSS*1*99 ,Data Dictionary,PHARMACY DATA MANAGEMENT,
108,TRUE,2009-07-14,VERIFIED,13,PSU*4*5 ,Routine,PHARMACY BENEFITS MANAGEMENT,PSU_4_5.kid
109,TRUE,2009-07-15,VERIFIED,147,PX*1*193 ,Routine,PCE PATIENT CARE ENCOUNTER,
110,TRUE,2009-07-15,VERIFIED,421,XU*8*475 ,Routine,KERNEL,
111,TRUE,2009-07-15,VERIFIED,422,XU*8*518 ,Routine,KERNEL,
112,TRUE,2009-07-17,VERIFIED,108,PRC*5.1*124 ,Routine,IFCAP,
113,TRUE,2009-07-20,VERIFIED,58,DVB*4*63 ,Routine,HINQ,
114,TRUE,2009-07-20,VERIFIED,127,DVBA*2.7*136 ,Routine,AUTOMATED MED INFO EXCHANGE,
115,TRUE,2009-07-23,VERIFIED,197,PSN*4*210 ,Routine,NATIONAL DRUG FILE,NDF4P210.KID
116,TRUE,2009-07-23,VERIFIED,198,PSN*4*211 ,Routine,NATIONAL DRUG FILE,NDF4P211.KID
117,TRUE,2009-07-23,VERIFIED,8,ROR*1.5*8 ,Routine,CLINICAL CASE REGISTRIES,
118,TRUE,2009-07-23,VERIFIED,81,YS*5.01*100 ,Routine,MENTAL HEALTH,
119,TRUE,2009-07-24,VERIFIED,381,IB*2*415 ,Routine,INTEGRATED BILLING,
120,TRUE,2009-07-29,VERIFIED,716,DG*5.3*750 ,Routine,REGISTRATION,
121,TRUE,2009-07-29,VERIFIED,279,PSO*7*266 ,Routine,OUTPATIENT PHARMACY,
122,TRUE,2009-08-03,VERIFIED,128,DVBA*2.7*138 ,Routine,AUTOMATED MED INFO EXCHANGE,
123,TRUE,2009-08-05,VERIFIED,280,PSO*7*306 ,Routine,OUTPATIENT PHARMACY,
