ID,INSTALLED,VERIFY_DT,STATUS,SEQ#,LABELED_AS,CATEGORY,PRODUCT_NAME,PREREQUISITES OR SPECIAL NOTES,REDACTED INFO IN FOIA RELEASE
1,TRUE,2010-01-04,VERIFIED,277,OR*3*319 ,Data Dictionary,ORDER ENTRY/RESULTS REPORTING,,
2,TRUE,2010-01-04,VERIFIED,112,PRS*4*121 ,Routine,PAID,,
3,TRUE,2010-01-04,VERIFIED,39,PSB*3*46 ,Routine,BAR CODE MED ADMIN,,
4,TRUE,2010-01-08,VERIFIED,44,ICD*18*47 ,Informational,DRG GROUPER,Installed with LEX*2*62.GBL,
5,TRUE,2010-01-08,VERIFIED,48,ICPT*6*50 ,Informational,CPT/HCPCS CODES,Installed with LEX_2_68.GBL,
6,TRUE,2010-01-08,VERIFIED,63,LEX*2*68 ,Routine,LEXICON UTILITY,LEX_2_68.GBL,
7,TRUE,2010-01-12,VERIFIED,217,PSN*4*227 ,Routine,NATIONAL DRUG FILE,NDF4P227.KID,
8,TRUE,2010-01-13,VERIFIED,98,EC*2*100 ,Routine,EVENT CAPTURE,EC2_0P100.KID,
9,TRUE,2010-01-13,VERIFIED,116,HL*1.6*143 ,Enhancement,HEALTH LEVEL SEVEN,,
10,TRUE,2010-01-13,VERIFIED,117,HL*1.6*146 ,Enhancement,HEALTH LEVEL SEVEN,,
11,TRUE,2010-01-13,VERIFIED,428,XU*8*514 ,Routine,KERNEL,,
12,TRUE,2010-01-21,VERIFIED,285,PSO*7*321 ,Routine,OUTPATIENT PHARMACY,,
13,TRUE,2010-01-25,NEW PACKAGE,,KMPS*2*0,NEW PACKAGE,SAGG,,
14,TRUE,2010-01-25,VERIFIED,218,PSN*4*228 ,Routine,NATIONAL DRUG FILE,NDF4P228.KID,
15,TRUE,2010-01-25,VERIFIED,219,PSN*4*229 ,Routine,NATIONAL DRUG FILE,NDF4P229.KID,
16,TRUE,2010-01-26,VERIFIED,429,XU*8*540 ,Routine,KERNEL,
17,TRUE,2010-01-27,VERIFIED,394,IB*2*428 ,Routine,INTEGRATED BILLING,
18,TRUE,2010-01-27,VERIFIED,395,IB*2*426 ,Routine,INTEGRATED BILLING,
19,TRUE,2010-01-27,VERIFIED,458,SD*5.3*565 ,Routine,SCHEDULING,
20,TRUE,2010-01-27,VERIFIED,15,WEBV*1*19 ,Other,VISTA WEB,requires OR*3*319
21,TRUE,2010-01-28,NEW PACKAGE,,MMRS*1,NEW PACKAGE,MRSA INITIATIVE REPORTS,MMRS1_0.KID
22,TRUE,2010-01-28,VERIFIED,56,PSA*3*72 ,Routine,DRUG ACCOUNTABILITY,
23,TRUE,2010-01-28,VERIFIED,286,PSO*7*327 ,Routine,OUTPATIENT PHARMACY,
24,TRUE,2010-02-01,VERIFIED,724,DG*5.3*819 ,Routine,REGISTRATION,DG_53_P819.KID
25,TRUE,2010-02-03,VERIFIED,198,PSJ*5*222 ,Routine,INPATIENT MEDICATIONS,
26,FALSE,2010-02-04,VERIFIED,56,DENT*1.2*58 ,Routine,DENTAL,PROHIBITED FROM FOIA DUE TO COPYRIGHT
27,TRUE,2010-02-05,VERIFIED,118,IVM*2*136 ,Routine,INCOME VERIFICATION MATCH,
28,TRUE,2010-02-08,VERIFIED,220,PSN*4*231 ,Routine,NATIONAL DRUG FILE,NDF4P231.KID
29,TRUE,2010-02-09,VERIFIED,287,PSO*7*339 ,Informational,OUTPATIENT PHARMACY,
30,FALSE,2010-02-10,VERIFIED,61,MAG*3*101 ,Routine,IMAGING,Prohibited from FOIA MAG3_0P101.KID
31,FALSE,2010-02-11,VERIFIED,62,MAG*3*93 ,Routine,IMAGING,Prohibited from FOIA MAG3_0P93.KID
