Version 3.18 Update - Outpatient Facility,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,Service Category Code,Multiple Surgery Indicator,Primary/Pass-Through Indicator,Unit Charge,Base Charge,Unit Type,Inpatient Indicator,Skilled Nursing Facility Indicator,Start Date,End Date,
10021,CPT,FINE NEEDLE ASPIRATION W/O IMAGING GUIDANCE,,30,,,"$1,129.82",$0.00,1,0,1,20160101,,
10022,CPT,FINE NEEDLE ASPIRATION WITH IMAGING GUIDANCE,,30,,,"$3,058.90",$0.00,1,0,1,20160101,,
10030,CPT,IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE,,30,,,"$5,767.31",$0.00,1,0,1,20160101,,
10035,CPT,PERQ SFT TISS LOC DEVICE PLMT 1ST LES W/GDNCE,,30,,,"$3,025.36",$0.00,1,0,1,20160101,,
10040,CPT,ACNE SURGERY,,30,,,$398.75,$0.00,1,0,1,20160101,,
10060,CPT,INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE,,30,,,$465.39,$0.00,1,0,1,20160101,,
10061,CPT,INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE,,30,,,"$1,462.82",$0.00,1,0,1,20160101,,
10080,CPT,INCISION & DRAINAGE PILONIDAL CYST SIMPLE,,30,,,"$1,462.82",$0.00,1,0,1,20160101,,
10081,CPT,INCISION & DRAINAGE PILONIDAL CYST COMPLICATED,,30,,,"$3,058.90",$0.00,1,0,1,20160101,,
10120,CPT,INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE,,30,,,"$1,129.82",$0.00,1,0,1,20160101,,
10121,CPT,INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL,,30,,,"$9,390.88",$0.00,1,0,1,20160101,,
10140,CPT,I&D HEMATOMA SEROMA/FLUID COLLECTION,,30,,,"$5,767.31",$0.00,1,0,1,20160101,,
10160,CPT,PUNCTURE ASPIRATION ABSCESS HEMATOMA BULLA/CYST,,30,,,"$1,462.82",$0.00,1,0,1,20160101,,
10180,CPT,INCISION & DRAINAGE COMPLEX PO WOUND INFECTION,,30,,,"$9,390.88",$0.00,1,0,1,20160101,,
11000,CPT,DBRDMT EXTENSV ECZEMA/INFECT SKN UP 10% BDY SURF,,30,,,"$2,409.56",$0.00,1,0,1,20160101,,
11001,CPT,DBRDMT EXTNSVE ECZEMA/INFECT SKN EA 10% BDY SURF,,30,,,$436.25,$0.00,1,0,1,20160101,,
11010,CPT,DBRDMT W/RMVL FM FX&/DISLC SKIN&SUBQ TISSUS,,30,,,"$5,767.31",$0.00,1,0,1,20160101,,
11011,CPT,DBRDMT W/RMVL FM FX&/DISLC SKN SUBQ T/M/F MUSC,,30,,,"$1,462.82",$0.00,1,0,1,20160101,,
