ID,INSTALLED,VERIFY_DT,STATUS,SEQ#,LABELED_AS,CATEGORY,PRODUCT_NAME,PREREQUISITES OR SPECIAL NOTES,REDACTED INFO IN FOIA RELEASE
1,FALSE,2011-01-05,VERIFIED,71,MAG*3*105,Enhancement,IMAGING,Prohibited from FOIA,
2,TRUE,2011-01-06,VERIFIED,67,LEX*2*74,Routine,LEXICON UTILITY,LEX_2_74.GBL,
3,TRUE,2011-01-06,VERIFIED,49,ICD*18*52,Informational,DRG GROUPER,installed with LEX*2*74,
4,TRUE,2011-01-06,VERIFIED,52,ICPT*6*54,Informational,CPT/HCPCS CODES,installed with LEX*2*74,
5,TRUE,2011-01-07,VERIFIED,284,OR*3*336,Routine,ORDER ENTRY/RESULTS REPORTING,,
6,TRUE,2011-01-11,VERIFIED,307,PSO*7*331,Routine,OUTPATIENT PHARMACY,,
7,TRUE,2011-01-11,VERIFIED,205,PSJ*5*241,Routine,INPATIENT MEDICATIONS,,
8,TRUE,2011-01-12,VERIFIED,256,PSN*4*268,Routine,NATIONAL DRUG FILE,NDF4P268.KID,
9,FALSE,2011-01-13,VERIFIED,22,VBEC*1*23,Informational,BLOOD BANK,PROHIBITED - CONTROLLED RELEASE FOR VBECS,
10,TRUE,2011-01-13,VERIFIED,140,DVBA*2.7*156,Routine,AUTOMATED MED INFO EXCHANGE,,
11,TRUE,2011-01-13,VERIFIED,446,XU*8*561,Informational,KERNEL,,
12,TRUE,2011-01-20,VERIFIED,242,PRCA*4.5*263,Routine,ACCOUNTS RECEIVABLE,,
13,TRUE,2011-01-20,VERIFIED,NEW,XOBU 1.6,NEW PACKAGE,SECURITY SUITE UTILITY PACKAGE,PER MESSAGE OF CAMERON DATED 2/2004 OK TO PUT ON FOIA ACCOUNT,
14,TRUE,2011-01-20,VERIFIED,NEW,XOBV 1.6,NEW PACKAGE,VISTALINK,PER MESSAGE OF CAMERON DATED 2/2004 OK TO PUT ON FOIA ACCOUNT,
15,TRUE,2011-01-20,VERIFIED,NEW,XOBS 1.6,NEW PACKAGE,VISTALINK SECURITY,PER MESSAGE OF CAMERON DATED 2/2004 OK TO PUT ON FOIA ACCOUNT,
16,TRUE,2011-01-21,VERIFIED,236,TIU*1*257,Patch for Patch,TEXT INTEGRATION UTILITY,TIU_1_257_MED.KID,,
17,TRUE,2011-01-25,VERIFIED,736,DG*5.3*825,Enhancement,REGISTRATION,"DG5_3_P825RG_TM.PDF
DG5_3_P825RG_UM.PDF",,
18,TRUE,2011-01-25,VERIFIED,51,MPIF*1*55,Routine,MASTER PATIENT INDEX VISTA,,,
19,TRUE,2011-01-25,VERIFIED,98,XT*7.3*125,Routine,KERNEL TOOLKIT,"XT_73_P125_TM.PDF
XT_73_P125_UM.PDF",,
20,TRUE,2011-01-25,VERIFIED,115,PRS*4*128,Data Dictionary,PAID,,,
21,FALSE,2011-01-25,VERIFIED,447,XU*8*562,ENTERED IN ERROR,KERNEL,,,
22,TRUE,2011-01-26,VERIFIED,135,PSS*1*144,Routine,PHARMACY DATA MANAGEMENT,,,
23,TRUE,2011-01-26,VERIFIED,408,IB*2*436,Data Dictionary,INTEGRATED BILLING,"IB_20_P436_RN.DOC
IB_20p436_TM.DOC",,
24,TRUE,2011-01-26,VERIFIED,23,FH*5.5*21,Routine,DIETETICS,,,
25,TRUE,2011-01-26,VERIFIED,448,XU*8*551,Routine,KERNEL,,,
26,TRUE,2011-01-27,VERIFIED,449,XU*8*537,Routine,KERNEL,,,
27,TRUE,2011-01-27,VERIFIED,450,XU*8*565,Routine,KERNEL,XU_80_P548_RN.PDF,,
28,TRUE,2011-01-31,VERIFIED,257,PSN*4*269,Routine,NATIONAL DRUG FILE,NDF4P269.KID,,
29,TRUE,2011-01-31,VERIFIED,258,PSN*4*270,Routine,NATIONAL DRUG FILE,NDF4P270.KID,,
30,TRUE,2011-02-01,VERIFIED,122,PRC*5.1*128,Other,IFCAP,,,
31,TRUE,2011-02-01,VERIFIED,123,PRC*5.1*139,Routine,IFCAP,,,
32,FALSE,2011-02-01,VERIFIED,72,MAG*3*98,Routine,IMAGING,Prohibited from FOIA MAG3_0P98.KID,,
33,TRUE,2011-02-02,VERIFIED,1,CRHD*1*2,Routine,SHIFT HAND OFF TOOL,,,
34,TRUE,2011-02-07,VERIFIED,259,PSN*4*271,Routine,NATIONAL DRUG FILE,NDF4P271.KID,,
35,TRUE,2011-02-07,VERIFIED,124,PRC*5.1*148,Routine,IFCAP,UPDATED IFCAP MANUALS,,
36,TRUE,2011-02-10,VERIFIED,285,OR*3*323,Routine,ORDER ENTRY/RESULTS REPORTING,,,
37,TRUE,2011-02-10,VERIFIED,206,PSJ*5*245,Routine,INPATIENT MEDICATIONS,,,
38,TRUE,2011-02-10,VERIFIED,136,PSS*1*157,Input Template,PHARMACY DATA MANAGEMENT,,,
39,FALSE,2011-02-10,VERIFIED,23,VBEC*1*24,Informational,BLOOD BANK,PROHIBITED - CONTROLLED RELEASE FOR VBECS,,
40,TRUE,2011-02-11,VERIFIED,94,RA*5*101,Routine,RADIOLOGY/NUCLEAR MEDICINE,,,
41,FALSE,2011-02-16,VERIFIED,4,DSIF*3.2*7,Enhancement,FEE BASIS CLAIM SYSTEM,PROHIBITED FROM FOIA DUE TO COPYRIGHT,,
42,TRUE,2011-02-16,VERIFIED,43,PSB*3*42,Enhancement,BAR CODE MED ADMIN,,,
43,TRUE,2011-02-16,VERIFIED,451,XU*8*567,Routine,KERNEL,,,
44,TRUE,2011-02-22,VERIFIED,102,FB*3.5*114,Routine,FEE BASIS,,,
45,TRUE,2011-02-22,VERIFIED,409,IB*2*437,Other,INTEGRATED BILLING,IB_2_P437_RN.DOC,,
46,TRUE,2011-02-23,VERIFIED,410,IB*2*442,Routine,INTEGRATED BILLING,,,
47,TRUE,2011-02-24,VERIFIED,260,PSN*4*272,Routine,NATIONAL DRUG FILE,NDF4P272.KID,,
48,TRUE,2011-02-24,VERIFIED,261,PSN*4*273,Routine,NATIONAL DRUG FILE,NDF4P273.KID
49,TRUE,2011-02-24,VERIFIED,52,ONC*2.11*52,Routine,ONCOLOGY,ONC211P52.KID
50,TRUE,2011-02-25,VERIFIED,469,SD*5.3*573,Routine,SCHEDULING,
51,TRUE,2011-02-25,VERIFIED,103,FB*3.5*115,Routine,FEE BASIS,FB3_5P115.KID
52,TRUE,2011-02-25,VERIFIED,411,IB*2*445,Routine,INTEGRATED BILLING,INCLUDING TXT FILES
53,TRUE,2011-02-28,VERIFIED,9,VALM*1*9,Routine,VA LIST MANAGER,
54,TRUE,2011-02-28,VERIFIED,2,PRPF*4*2,Informational,INTEGRATED PATIENT FUNDS,VPFS_1.1_2 docs/pdf Files in Documentation
55,TRUE,2011-03-02,VERIFIED,12,ROR*1.5*13,Routine,CLINICAL CASE REGISTRIES,ROR1_5P13GUI.ZIP
56,TRUE,2011-03-02,VERIFIED,NEW,XOBW 1.0,NEW PACKAGE,WEB SERVICES CLIENT,XOBW_1_0_B31_KIDS_BUILD.ZIP
57,TRUE,2011-03-02,VERIFIED,57,PSA*3*71,Routine,DRUG ACCOUNTABILITY,
58,TRUE,2011-03-02,VERIFIED,207,PSJ*5*179,Routine,INPATIENT MEDICATIONS,
59,TRUE,2011-03-03,VERIFIED,286,OR*3*294,Routine,ORDER ENTRY/RESULTS REPORTING,OR_30_294IG.DOC/PDF in Documentation
60,TRUE,2011-03-03,VERIFIED,41,GMRA*4*44,Routine,ADVERSE REACTION TRACKING,
61,TRUE,2011-03-04,VERIFIED,412,IB*2*404,Routine,INTEGRATED BILLING,
62,TRUE,2011-03-04,VERIFIED,737,DG*5.3*754,Routine,REGISTRATION,DG_53_P754.KID including documentation 
63,TRUE,2011-03-04,VERIFIED,123,IVM*2*121,Routine,INCOME VERIFICATION MATCH,DG_53_P754.KID including documentation 
64,TRUE,2011-03-07,VERIFIED,262,PSN*4*274,Routine,NATIONAL DRUG FILE,NDF4P274.KID,
65,TRUE,2011-03-07,VERIFIED,137,PSS*1*142,Routine,PHARMACY DATA MANAGEMENT,PSS_1_142.KID,
66,TRUE,2011-03-07,VERIFIED,138,PSS*1*151,Routine,PHARMACY DATA MANAGEMENT,PSS_1_151.KID,
67,TRUE,2011-03-07,VERIFIED,287,OR*3*293,Routine,ORDER ENTRY/RESULTS REPORTING,CPRS28_REQUIRED.KID including documentation,
68,TRUE,2011-03-07,VERIFIED,62,GMRC*3*66,Routine,CONSULT/REQUEST TRACKING,CPRS28_REQUIRED.KID including documentation,
69,TRUE,2011-03-07,VERIFIED,42,GMRA*4*45,Routine,ADVERSE REACTION TRACKING,CPRS28_REQUIRED.KID including documentation,
70,TRUE,2011-03-07,VERIFIED,288,OR*3*280,Routine,ORDER ENTRY/RESULTS REPORTING,OR_PSJ_PXRM_28.KID including documentation,
71,TRUE,2011-03-07,VERIFIED,208,PSJ*5*226,Routine,INPATIENT MEDICATIONS,OR_PSJ_PXRM_28.KID including documentation,
72,TRUE,2011-03-07,VERIFIED,14,PXRM*2*16,Routine,CLINICAL REMINDERS,OR_PSJ_PXRM_28.KID including documentation,
73,TRUE,2011-03-07,VERIFIED,63,GMRC*3*64,Routine,CONSULT/REQUEST TRACKING,CPRS28_RELATED.KID including documentation,
74,TRUE,2011-03-07,VERIFIED,87,GMTS*2.7*90,Routine,HEALTH SUMMARY,CPRS28_RELATED.KID including documentation,
75,TRUE,2011-03-07,VERIFIED,289,OR*3*337,Routine,ORDER ENTRY/RESULTS REPORTING,CPRS28_RELATED.KID including documentation,
76,TRUE,2011-03-07,VERIFIED,116,PRS*4*130,Routine,PAID,,
77,FALSE,2011-03-08,VERIFIED,24,VBEC*1*10,Routine,BLOOD BANK,PROHIBITED - CONTROLLED RELEASE FOR VBECS,
78,TRUE,2011-03-08,VERIFIED,320,LR*5.2*401,Routine,LABORATORY,LR_5_2_401.KID,
79,TRUE,2011-03-08,VERIFIED,95,RA*5*106,Data Dictionary,RADIOLOGY/NUCLEAR MEDICINE,INCLUDES .DOC AND .PDF MANUALS,
80,TRUE,2011-03-09,VERIFIED,17,WEBV*1*20,Informational,VISTA WEB,"Includes UM, IG, & TM .doc and .pdf manuals"
81,FALSE,2011-03-09,VERIFIED,5,DSIF*3.2*18,Informational,FEE BASIS CLAIM SYSTEM,PROHIBITED
82,FALSE,2011-03-10,VERIFIED,25,VBEC*1*25,Informational,BLOOD BANK,PROHIBITED - CONTROLLED RELEASE FOR VBECS
83,TRUE,2011-03-10,VERIFIED,738,DG*5.3*839,Routine,REGISTRATION,
84,TRUE,2011-03-10,VERIFIED,84,YS*5.01*96,Data Dictionary,MENTAL HEALTH,INCLUDES DOCUMENTATION
85,FALSE,2011-03-10,VERIFIED,73,MAG*3*115,Routine,IMAGING,PROHIBITED DUE TO FDA
86,TRUE,2011-03-14,VERIFIED,739,DG*5.3*773,Routine,REGISTRATION,
87,TRUE,2011-03-15,VERIFIED,125,PRC*5.1*147,Routine,IFCAP,
88,TRUE,2011-03-16,VERIFIED,413,IB*2*443,Routine,INTEGRATED BILLING,
