Version 3.15 - Inpatient Facility Charge Table,,,,,,,,
,,,,,,,,
Item Code,Code Type,Description,Charge Type Indicator,Standard Room and Board Per Diem,Standard Ancillary Charge Per Diem,ICU Room and Board Per Diem,ICU Ancillary Charge Per Diem,Start Date
001,DRG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,S,"$3,688.65 ","$26,500.59 ","$6,879.86 ","$26,500.59 ",20141001
002,DRG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,S,"$3,527.45 ","$31,019.25 ","$6,948.10 ","$31,019.25 ",20141001
003,DRG,"ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",S,"$3,938.49 ","$15,198.03 ","$6,775.70 ","$15,198.03 ",20141001
004,DRG,"TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",S,"$3,590.69 ","$10,450.13 ","$6,121.07 ","$10,450.13 ",20141001
005,DRG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,S,"$3,423.22 ","$26,042.79 ","$7,465.41 ","$26,042.79 ",20141001
006,DRG,LIVER TRANSPLANT W/O MCC,S,"$2,911.68 ","$32,386.12 ","$5,976.47 ","$32,386.12 ",20141001
007,DRG,LUNG TRANSPLANT,S,"$3,434.23 ","$27,068.76 ","$5,827.70 ","$27,068.76 ",20141001
008,DRG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,S,"$3,032.06 ","$37,932.81 ","$6,220.11 ","$37,932.81 ",20141001
010,DRG,PANCREAS TRANSPLANT,S,"$3,180.47 ","$27,588.12 ","$5,913.52 ","$27,588.12 ",20141001
011,DRG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",S,"$3,348.59 ","$11,181.53 ","$6,233.86 ","$11,181.53 ",20141001
