Version 3.15 Update - Outpatient Facility,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,Service Category Code,Multiple Surgery Indicator,Primary/Pass-Through Indicator,Unit Charge,Base Charge,Unit Type,Inpatient Indicator,Skilled Nursing Facility Indicator,Start Date,End Date
10021,CPT,FINE NEEDLE ASPIRATION W/O IMAGING GUIDANCE,,30,,,$534.52 ,$0.00 ,1,0,1,20141001,
10022,CPT,FINE NEEDLE ASPIRATION WITH IMAGING GUIDANCE,,30,,,"$2,339.13 ",$0.00 ,1,0,1,20141001,
10030,CPT,IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE,,30,,,$874.39 ,$0.00 ,1,0,1,20141001,
10040,CPT,ACNE SURGERY,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
10060,CPT,INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE,,30,,,$880.36 ,$0.00 ,1,0,1,20141001,
10061,CPT,INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE,,30,,,$880.36 ,$0.00 ,1,0,1,20141001,
10080,CPT,INCISION & DRAINAGE PILONIDAL CYST SIMPLE,,30,,,$880.36 ,$0.00 ,1,0,1,20141001,
10081,CPT,INCISION & DRAINAGE PILONIDAL CYST COMPLICATED,,30,,,"$4,924.22 ",$0.00 ,1,0,1,20141001,
10120,CPT,INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE,,30,,,"$1,539.42 ",$0.00 ,1,0,1,20141001,
10121,CPT,INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL,,30,,,"$6,504.69 ",$0.00 ,1,0,1,20141001,
10140,CPT,I&D HEMATOMA SEROMA/FLUID COLLECTION,,30,,,"$4,924.22 ",$0.00 ,1,0,1,20141001,
10160,CPT,PUNCTURE ASPIRATION ABSCESS HEMATOMA BULLA/CYST,,30,,,$880.36 ,$0.00 ,1,0,1,20141001,
10180,CPT,INCISION & DRAINAGE COMPLEX PO WOUND INFECTION,,30,,,"$8,819.75 ",$0.00 ,1,0,1,20141001,
11000,CPT,DBRDMT EXTENSV ECZEMA/INFECT SKN UP 10% BDY SURF,,30,,,"$1,539.42 ",$0.00 ,1,0,1,20141001,
11001,CPT,DBRDMT EXTNSVE ECZEMA/INFECT SKN EA 10% BDY SURF,,30,,,$350.70 ,$0.00 ,1,0,1,20141001,
11010,CPT,DBRDMT W/RMVL FM FX&/DISLC SKIN&SUBQ TISSUS,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11011,CPT,DBRDMT W/RMVL FM FX&/DISLC SKN SUBQ T/M/F MUSC,,30,,,"$1,776.44 ",$0.00 ,1,0,1,20141001,
11012,CPT,DBRDMT FX&/DISLC SUBQ T/M/F BONE,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11042,CPT,DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<,,30,,,"$1,539.42 ",$0.00 ,1,0,1,20141001,
11043,CPT,DEBRIDEMENT MUSCLE & FASCIA 20 SQ CM/<,,30,,,"$1,539.42 ",$0.00 ,1,0,1,20141001,
11044,CPT,DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11045,CPT,DBRDMT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM,,30,,,"$1,039.81 ",$0.00 ,1,0,1,20141001,
11046,CPT,DEBRIDEMENT MUSCLE &/FASCIA EA ADDL 20 SQ CM,,30,,,"$1,663.70 ",$0.00 ,1,0,1,20141001,
11047,CPT,DEBRIDEMENT BONE EACH ADDITIONAL 20 SQ CM,,30,,,"$2,495.54 ",$0.00 ,1,0,1,20141001,
11055,CPT,PARING/CUTTING BENIGN HYPERKERATOTIC LESION 1,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11056,CPT,PARING/CUTTING BENIGN HYPERKERATOTIC LESION 2-4,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11057,CPT,PARING/CUTTING BENIGN HYPERKERATOTIC LESION >4,,30,,,$530.00 ,$0.00 ,1,0,1,20141001,
11100,CPT,BX SKIN SUBCUTANEOUS&/MUCOUS MEMBRANE 1 LESION,,30,,,$530.00 ,$0.00 ,1,0,1,20141001,
11101,CPT,BIOPSY SKIN SUBQ&/MUCOUS MEMBRANE EA ADDL LESN,,30,,,$291.15 ,$0.00 ,1,0,1,20141001,
11200,CPT,REMOVAL SKN TAGS MLT FIBRQ TAGS ANY AREA UPW/15,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11201,CPT,REMOVAL SK TGS MLT FIBRQ TAGS ANY AREA EA 10,,30,,,$350.70 ,$0.00 ,1,0,1,20141001,
11300,CPT,SHAVING SKIN LES 1 TRUNK/ARM/LEG DIAM 0.5CM/<,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11301,CPT,SHVG SKIN LES 1 TRUNK/ARM/LEG DIAM 0.6-1.0 CM,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11302,CPT,SHVG SKN LESION 1 TRUNK/ARM/LEG DIAM 1.1-2.0 CM,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11303,CPT,SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM >2.0 CM,,30,,,$530.00 ,$0.00 ,1,0,1,20141001,
11305,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.5 CM/<,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11306,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.6-1.0 CM,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11307,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 1.1-2.0 CM,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11308,CPT,SHAVING SKIN LESION 1 S/N/H/F/G DIAM >2.0 CM,,30,,,$530.00 ,$0.00 ,1,0,1,20141001,
11310,CPT,SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM 0.5 CM/<,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11311,CPT,SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 0.6-1.0 CM,,30,,,$514.85 ,$0.00 ,1,0,1,20141001,
11312,CPT,SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 1.1-2.0 CM,,30,,,$530.00 ,$0.00 ,1,0,1,20141001,
11313,CPT,SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM >2.0 CM,,30,,,$530.00 ,$0.00 ,1,0,1,20141001,
11400,CPT,EXC B9 LES MRGN XCP SK TG T/A/L 0.5 CM/<,,30,,,"$1,776.44 ",$0.00 ,1,0,1,20141001,
11401,CPT,EXC B9 LES MRGN XCP SK TG T/A/L 0.6-1.0 CM,,30,,,"$1,776.44 ",$0.00 ,1,0,1,20141001,
11402,CPT,EXC B9 LES MRGN XCP SK TG T/A/L 1.1-2.0 CM,,30,,,"$1,776.44 ",$0.00 ,1,0,1,20141001,
11403,CPT,EXC B9 LES MRGN XCP SK TG T/A/L 2.1-3.0 CM/<,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11404,CPT,EXC B9 LES MRGN XCP SK TG T/A/L 3.1-4.0 CM,,30,,,"$6,504.69 ",$0.00 ,1,0,1,20141001,
11406,CPT,EXC B9 LES MRGN XCP SK TG T/A/L >4.0 CM,,30,,,"$6,504.69 ",$0.00 ,1,0,1,20141001,
11420,CPT,EXC B9 LES MRGN XCP SK TG S/N/H/F/G 0.5 CM/<,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11421,CPT,EXC B9 LES MRGN XCP SK TG S/N/H/F/G 0.6-1.0CM,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11422,CPT,EXC B9 LES MRGN XCP SK TG S/N/H/F/G 1.1-2.0CM,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11423,CPT,EXC B9 LES MRGN XCP SK TG S/N/H/F/G 2.1-3.0CM,,30,,,"$6,504.69 ",$0.00 ,1,0,1,20141001,
11424,CPT,EXC B9 LES MRGN XCP SK TG S/N/H/F/G 3.1-4.0CM,,30,,,"$6,504.69 ",$0.00 ,1,0,1,20141001,
11426,CPT,EXC B9 LES MRGN XCP SK TG S/N/H/F/G > 4.0CM,,30,,,"$9,950.82 ",$0.00 ,1,0,1,20141001,
11440,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.5CM/<,,30,,,"$1,776.44 ",$0.00 ,1,0,1,20141001,
11441,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.6-1.0CM,,30,,,"$1,776.44 ",$0.00 ,1,0,1,20141001,
11442,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 1.1-2.0CM,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11443,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 2.1-3.0CM,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11444,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 3.1-4.0CM,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11446,CPT,EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M > 4.0CM,,30,,,"$9,950.82 ",$0.00 ,1,0,1,20141001,
11450,CPT,EXCISION HIDRADENITIS AXILLARY SMPL/INTRM RPR,,30,,,"$9,950.82 ",$0.00 ,1,0,1,20141001,
11451,CPT,EXCISION HIDRADENITIS AXILLARY COMPLEX REPAIR,,30,,,"$9,950.82 ",$0.00 ,1,0,1,20141001,
11462,CPT,EXCISION HIDRADENITIS INGUINAL SMPL/INTRM RPR,,30,,,"$9,950.82 ",$0.00 ,1,0,1,20141001,
11463,CPT,EXCISION HIDRADENITIS INGUINAL COMPLEX REPAIR,,30,,,"$9,950.82 ",$0.00 ,1,0,1,20141001,
11470,CPT,EXCISION H/P/P/U SIMPLE/INTERMEDIATE REPAIR,,30,,,"$9,950.82 ",$0.00 ,1,0,1,20141001,
11471,CPT,EXCISION H/P/P/U COMPLEX REPAIR,,30,,,"$9,950.82 ",$0.00 ,1,0,1,20141001,
11600,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 0.5 CM/<,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11601,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM,,30,,,"$1,776.44 ",$0.00 ,1,0,1,20141001,
11602,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 1.1-2.0 CM,,30,,,"$1,776.44 ",$0.00 ,1,0,1,20141001,
11603,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 2.1-3.0 CM/<,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11604,CPT,EXCISION MAL LESION TRUNK/ARM/LEG 3.1-4.0 CM,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11606,CPT,EXCISION MALIGNANT LESION TRUNK/ARM/LEG > 4.0 CM,,30,,,"$6,504.69 ",$0.00 ,1,0,1,20141001,
11620,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 0.5 CM/<,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11621,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 0.6-1.0 CM,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11622,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 1.1-2.0 CM,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11623,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 2.1-3.0 CM/<,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11624,CPT,EXCISION MALIGNANT LESION S/N/H/F/G 3.1-4.0 CM,,30,,,"$6,504.69 ",$0.00 ,1,0,1,20141001,
11626,CPT,EXCISION MALIGNANT LESION S/N/H/F/G >4.0 CM,,30,,,"$9,950.82 ",$0.00 ,1,0,1,20141001,
11640,CPT,EXCISION MALIGNANT LESION F/E/E/N/L 0.5 CM/<,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11641,CPT,EXCISION MALIGNANT LES F/E/E/N/L 0.6-1.0 CM,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11642,CPT,EXCISION MALIGNANT LES F/E/E/N/L 1.1-2.0 CM,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11643,CPT,EXCISION MALIGNANT LES F/E/E/N/L 2.1-3.0 CM/<,,30,,,"$3,670.92 ",$0.00 ,1,0,1,20141001,
11644,CPT,EXCISION MALIGNANT LES F/E/E/N/L 3.1-4.0 CM,,30,,,"$6,504.69 ",$0.00 ,1,0,1,20141001,
