Sta #,VA Facility Location,ZIP 3,PBN,,,,,,,
402,"TOGUS, ME",043,1,,,,,,,
402GA,"CARIBOU, ME",047,3,,,,,,,
402GB,"CALAIS, ME",046,3,,,,,,,
402GC,"RUMFORD, ME",042,3,,,,,,,
402GD,"SACO, ME",040,3,,,,,,,
402GE,"AUBURN, ME",042,2,,,,,,,
402GF,"LINCOLN VA CLINIC, ME",044,3,,,,,,,
402HB,"BANGOR, ME",044,3,,,,,,,
402HC,"PORTLAND, ME (MHORC)",041,2,,,,,,,
402QA,"FT. KENT VA CLINIC, ME",047,3,,,,,,,
402QB,"HOULTON VA CLINIC, ME",047,3,,,,,,,
405,"WHITE RIVER JCT, VT",050,1,,,,,,,
405BU,"WHITE RIVER JCT, VT  (SARRTP)",050,1,,,,,,,
405GA,"BENNINGTON, VT",052,3,,,,,,,
405GC,"BRATTLEBORO, VT",053,3,,,,,,,
405HA,"BURLINGTON LAKESIDE, VT (CBOC)",054,3,,,,,,,
405HC,"LITTLETON, NH",035,3,,,,,,,
405HE,"KEENE, NH",034,3,,,,,,,
405HF,"RUTLAND, VT",057,2,,,,,,,
405HG,"WILDER, VT",050,2,,,,,,,
405QA,"ST JOHNSBURY VA CLINIC, VT",058,3,,,,,,,
405QB,"NEWPORT VA CLINIC, VT",058,3,,,,,,,
436,"FORT HARRISON, MT",596,1,,,,,,,
436GA,"ANACONDA, MT",597,3,,,,,,,
436GB,"GREAT FALLS, MT",594,2,,,,,,,
436GC,"MISSOULA, MT",598,2,,,,,,,
436GD,"BOZEMAN, MT",597,3,,,,,,,
436GF,"KALISPELL, MT",599,2,,,,,,,
436GH,"BILLINGS, MT",591,2,,,,,,,
436GI,"GLASGOW, MT",592,3,,,,,,,
436GJ,"MILES CITY, MT",593,3,,,,,,,
436GK,"GLENDIVE, MT",593,3,,,,,,,
436GL,"CUT BANK,MT",594,2,,,,,,,
436GM,"LEWISTOWN, MT",594,3,,,,,,,
436HC,"HAVRE, MT",595,3,,,,,,,
